model,author,date,solution_type,arc_agi_1,arc_agi_2,arc_agi_3,cost_per_task,total_cost
GPT-5 Mini (Minimal),OpenAI,2025-08-07,CoT,5.0,1.0,,0.009,
GPT-5 Nano (High),OpenAI,2025-08-07,CoT,16.0,2.0,,0.029,
GPT-5 Nano (Medium),OpenAI,2025-08-07,CoT,20.0,0.0,,0.014,
GPT-5 Nano (Low),OpenAI,2025-08-07,CoT,4.0,0.0,,0.003,
GPT-5 Nano (Minimal),OpenAI,2025-08-07,CoT,1.0,0.0,,0.003,
Hierarchical Reasoning Model (HRM),Bespoke,2025-08-07,N/A,32.0,2.0,,1.68,
Grok 4 (Refine.),J. Berman,2025-08-07,Refinement,79.0,29.0,,30.4,
Grok 4 (Refine.),E. Pang,2025-08-07,Refinement,77.0,26.0,,3.97,
Qwen3-235b-a22b Instruct (25/07),Alibaba,2025-07-25,Base LLM,11.0,1.0,,0.004,
Grok 4 (Thinking),xAI,2025-07-09,CoT,66.0,16.0,,2.17,
Gemini 2.5 Pro (Thinking 1K),Google,2025-06-17,CoT,16.0,0.0,,0.088,
Gemini 2.5 Pro (Thinking 8K),Google,2025-06-17,CoT,29.0,2.0,,0.444,
Gemini 2.5 Pro (Thinking 16K),Google,2025-06-17,CoT,41.0,4.0,,0.715,
Gemini 2.5 Pro (Thinking 32K),Google,2025-06-17,CoT,37.0,4.0,,0.757,
o3-Pro (Low),OpenAI,2025-06-10,CoT + Synthesis,44.0,2.0,,2.23,
o3-Pro (Medium),OpenAI,2025-06-10,CoT + Synthesis,57.0,1.0,,4.74,
o3-Pro (High),OpenAI,2025-06-10,CoT + Synthesis,59.0,4.0,,7.55,
Magistral Small,Mistral,2025-06-10,CoT,5.0,0.0,,0.049,
Magistral Medium,Mistral,2025-06-10,CoT,5.0,0.0,,0.108,
Magistral Medium (Thinking),Mistral,2025-06-10,CoT,6.0,0.0,,0.123,
Deepseek R1 (05/28),Deepseek,2025-05-28,CoT,21.0,1.0,,0.053,
Codex Mini (Latest),OpenAI,2025-05-23,CoT,27.0,1.0,,0.23,
Gemini 2.5 Flash (Preview),Google,2025-05-20,CoT,33.0,1.0,,0.057,
Gemini 2.5 Flash (Preview) (Thinking 1K),Google,2025-05-20,CoT,16.0,2.0,,0.03,
Gemini 2.5 Flash (Preview) (Thinking 8K),Google,2025-05-20,CoT,25.0,2.0,,0.199,
Gemini 2.5 Flash (Preview) (Thinking 16K),Google,2025-05-20,CoT,33.0,2.0,,0.317,
Gemini 2.5 Flash (Preview) (Thinking 24K),Google,2025-05-20,CoT,32.0,2.0,,0.319,
Claude Sonnet 4,Anthropic,2025-05-14,Base LLM,23.0,1.0,,0.127,
Claude Sonnet 4 (Thinking 1K),Anthropic,2025-05-14,CoT,28.0,0.0,,0.142,
Claude Sonnet 4 (Thinking 8K),Anthropic,2025-05-14,CoT,29.0,2.0,,0.265,
Claude Sonnet 4 (Thinking 16K),Anthropic,2025-05-14,CoT,40.0,5.0,,0.486,
Claude Opus 4 (Thinking 16K),Anthropic,2025-05-14,CoT,35.0,8.0,,1.93,
Claude Opus 4 (Thinking 8K),Anthropic,2025-05-14,CoT,30.0,4.0,,1.16,
Claude Opus 4 (Thinking 1K),Anthropic,2025-05-14,CoT,27.0,0.0,,0.75,
Claude Opus 4,Anthropic,2025-05-14,CoT,22.0,1.0,,0.639,
o3 (Low),OpenAI,2025-04-16,CoT,41.0,2.0,,0.234,
o3 (Medium),OpenAI,2025-04-16,CoT,53.0,3.0,,0.479,
o3 (High),OpenAI,2025-04-16,CoT,60.0,6.0,,0.834,
o4-mini (Low),OpenAI,2025-04-16,CoT,21.0,1.0,,0.05,
o4-mini (Medium),OpenAI,2025-04-16,CoT,41.0,2.0,,0.231,
o4-mini (High),OpenAI,2025-04-16,CoT,58.0,6.0,,0.856,
GPT-4.1-Nano,OpenAI,2025-04-14,Base LLM,0.0,0.0,,0.004,
GPT-4.1-Mini,OpenAI,2025-04-14,Base LLM,3.0,0.0,,0.014,
GPT-4.1,OpenAI,2025-04-14,Base LLM,5.0,0.0,,0.069,
Llama 4 Maverick,Meta,2025-04-05,Base LLM,4.0,0.0,,0.012,
Llama 4 Scout,Meta,2025-04-05,Base LLM,0.0,0.0,,0.006,
GPT-4.5,OpenAI,2025-02-27,Base LLM,10.0,0.0,,2.1,
Claude 3.7,Anthropic,2025-02-24,Base LLM,13.0,0.0,,0.12,
Claude 3.7 (16K),Anthropic,2025-02-24,CoT,28.0,0.0,,0.51,
Claude 3.7 (1K),Anthropic,2025-02-24,CoT,11.0,0.0,,0.14,
Claude 3.7 (8K),Anthropic,2025-02-24,CoT,21.0,0.0,,0.36,
Grok 3,xAI,2025-02-19,Base LLM,5.0,0.0,,0.142,
Grok 3 Mini (Low),xAI,2025-02-19,CoT,16.0,0.0,,0.013,
Gemini 2.5 Pro (Preview),Google,2025-02-19,CoT,33.0,3.0,,0.813,
"Gemini 2.5 Pro (Preview, Thinking 1K)",Google,2025-02-19,CoT,31.0,3.0,,0.804,
Gemini 1.5 Pro,Google,2025-02-15,Base LLM,,0.0,,0.04,
Gemini 2.0 Flash,Google,2025-02-02,Base LLM,,1.0,,0.004,
o3-mini (Low),OpenAI,2025-01-31,CoT,14.0,0.0,,0.062,
o3-mini (Medium),OpenAI,2025-01-31,CoT,22.0,2.0,,0.284,
o3-mini (High),OpenAI,2025-01-31,CoT,34.0,3.0,,0.547,
Deepseek R1,Deepseek,2025-01-22,CoT,15.0,1.0,,0.08,
"o3 (Preview, Low)",OpenAI,2024-12-20,CoT + Synthesis,75.0,4.0,,200.0,
GPT-4o,OpenAI,2024-11-20,Base LLM,4.0,0.0,,0.08,
ARChitects,ARC Prize 2024,2024-11-03,Custom,56.0,2.0,,0.2,
NVARC,ARC Prize 2025,2024-11-03,Custom,,27.0,,0.2,
o1-mini,OpenAI,2024-09-12,CoT,14.0,0.0,,0.191,
GPT-4o-mini,OpenAI,2024-07-18,Base LLM,,0.0,,0.01,
Icecuber,ARC Prize 2024,2023-11-03,Custom,17.0,1.0,,0.13,
Human Panel,Human,N/A,N/A,98.0,100.0,,17.0,
Avg. Mturker,Human,N/A,N/A,77.0,,,3.0,
Stem Grad,Human,N/A,N/A,98.0,,,10.0,
